Repumper Detuning [Gamma],Cooler Detuning [Gamma],Standard deviation Atomnumber
-0.07372013651877413,6.139590443686008,463437345.0
-0.07372013651877413,6.333788395904434,460653305.0
-0.07372013651877413,6.527986348122865,462196765.0
-0.07372013651877413,6.722184300341296,462099755.0
-0.07372013651877413,6.9163822525597265,434707950.0
-0.07372013651877413,7.110580204778158,382245790.0
-0.07372013651877413,7.3047781569965835,350685335.0
-0.07372013651877413,7.498976109215015,343236870.0
-0.07372013651877413,7.693174061433446,363333515.0
-0.07372013651877413,7.887372013651876,377138150.0
-0.07372013651877413,8.081569965870308,365562300.0
-0.07372013651877413,8.275767918088734,341200040.0
-0.07372013651877413,8.469965870307165,310251990.0
-0.07372013651877413,8.664163822525595,250530690.0
-0.07372013651877413,8.858361774744026,214087500.0
-0.07372013651877413,9.052559726962457,174818245.0
-0.07372013651877413,9.246757679180888,134869070.0
-0.07372013651877413,9.440955631399314,95118040.0
-0.07372013651877413,9.635153583617745,51238255.0
0.27235494880546135,2.0614334470989735,16249035.0
0.27235494880546135,2.255631399317404,26016905.0
0.27235494880546135,2.449829351535835,31364390.0
0.27235494880546135,2.644027303754266,38284040.0
0.27235494880546135,2.838225255972697,46559235.0
0.27235494880546135,3.032423208191123,53679660.0
0.27235494880546135,3.226621160409554,64594645.0
0.27235494880546135,3.420819112627985,78980470.0
0.27235494880546135,3.6150170648464157,99817735.0
0.27235494880546135,3.809215017064847,120472845.0
0.27235494880546135,4.003412969283273,146880410.0
0.27235494880546135,4.1976109215017035,178803030.0
0.27235494880546135,4.391808873720135,206096340.0
0.27235494880546135,4.586006825938566,236298245.0
0.27235494880546135,4.780204778156996,289668035.0
0.27235494880546135,4.974402730375423,340339010.0
0.27235494880546135,5.168600682593853,383844945.0
0.27235494880546135,5.362798634812284,431479780.0
0.27235494880546135,5.556996587030715,498990270.0
0.27235494880546135,5.751194539249146,546803390.0
0.27235494880546135,5.945392491467577,599296435.0
0.27235494880546135,6.139590443686008,631278205.0
0.27235494880546135,6.333788395904434,662400395.0
